id	unit	kind	pos	cefr	cefr_source	zipf
w:a|det	a	word	det	A1	cefrj	7.30
w:a_m_|adv	a.m.	word	adv	A1	cefrj	4.26
w:abandon|verb	abandon	word	verb	B1	cefrj	4.10
w:abandoned|adj	abandoned	word	adj	B2	cefrj	4.33
w:aberration|noun	aberration	word	noun	C2	cefrj	2.76
w:abhor|verb	abhor	word	verb	C2	cefrj	2.64
w:abhorrent|adj	abhorrent	word	adj	C2	cefrj	2.46
w:abhorrently|adv	abhorrently	word	adv	C2	cefrj	0.00
w:ability|noun	ability	word	noun	A2	cefrj	4.33
w:abject|adj	abject	word	adj	C2	cefrj	2.77
w:able|adj	able	word	adj	B1	cefrj	5.31
w:abnormal|adj	abnormal	word	adj	B1	cefrj	3.52
w:abnormally|adv	abnormally	word	adv	B2	cefrj	2.67
w:aboard|adv	aboard	word	adv	B1	cefrj	4.27
w:aboard|prep	aboard	word	prep	C1	cefrj	4.27
w:abolish|verb	abolish	word	verb	B2	cefrj	2.93
w:aboriginal|adj	aboriginal	word	adj	B2	cefrj	2.74
w:aborigine|noun	aborigine	word	noun	B1	cefrj	0.00
w:abound|verb	abound	word	verb	C1	cefrj	2.66
w:about|adv	about	word	adv	A1	cefrj	6.54
w:about|prep	about	word	prep	A1	cefrj	6.54
w:above|adj	above	word	adj	B1	cefrj	4.75
w:above|adv	above	word	adv	A1	cefrj	4.75
w:above|prep	above	word	prep	A1	cefrj	4.75
w:abroad|adv	abroad	word	adv	A2	cefrj	4.08
w:abruptly|adv	abruptly	word	adv	B2	cefrj	3.16
w:absence|noun	absence	word	noun	B1	cefrj	3.96
w:absent|adj	absent	word	adj	B1	cefrj	3.64
w:absentee|noun	absentee	word	noun	B2	cefrj	2.57
w:absolute|adj	absolute	word	adj	B1	cefrj	4.17
w:absolute|noun	absolute	word	noun	C1	cefrj	4.17
w:absolutely|adv	absolutely	word	adv	B1	cefrj	5.07
w:absorb|verb	absorb	word	verb	B1	cefrj	3.45
w:abstract|adj	abstract	word	adj	B1	cefrj	3.35
w:abstraction|noun	abstraction	word	noun	C1	cefrj	2.36
w:absurd|adj	absurd	word	adj	B2	cefrj	4.06
w:abundance|noun	abundance	word	noun	B1	cefrj	3.25
w:abundant|adj	abundant	word	adj	B1	cefrj	3.12
w:abundantly|adv	abundantly	word	adv	C2	cefrj	2.76
w:abuse|noun	abuse	word	noun	B2	cefrj	4.13
w:academic|adj	academic	word	adj	B1	cefrj	3.64
w:academy|noun	academy	word	noun	B1	cefrj	4.16
w:accent|noun	accent	word	noun	B1	cefrj	4.29
w:accept|verb	accept	word	verb	A2	cefrj	4.87
w:acceptable|adj	acceptable	word	adj	A2	cefrj	3.74
w:acceptance|noun	acceptance	word	noun	B1	cefrj	3.47
w:access|noun	access	word	noun	B1	cefrj	4.57
w:access|verb	access	word	verb	B2	cefrj	4.57
w:accessibility|noun	accessibility	word	noun	B2	cefrj	0.00
w:accessible|adj	accessible	word	adj	B1	cefrj	3.19
w:accessory|noun	accessory	word	noun	B1	cefrj	3.46
w:accident|noun	accident	word	noun	A2	cefrj	4.93
w:accidental|adj	accidental	word	adj	B1	cefrj	3.53
w:accidentally|adv	accidentally	word	adv	B1	cefrj	3.99
w:accommodation|noun	accommodation	word	noun	B2	cefrj	3.25
w:accompany|verb	accompany	word	verb	B1	cefrj	3.92
w:accomplish|verb	accomplish	word	verb	B1	cefrj	3.79
w:according_to|prep	according to	word	prep	B1	cefrj	0.00
w:accordingly|adv	accordingly	word	adv	B2	cefrj	3.38
w:account|noun	account	word	noun	A2	cefrj	4.67
w:account|verb	account	word	verb	B1	cefrj	4.67
w:accountability|noun	accountability	word	noun	C2	cefrj	2.82
w:accountant|noun	accountant	word	noun	B1	cefrj	3.83
w:accrue|verb	accrue	word	verb	C2	cefrj	0.00
w:accumulate|verb	accumulate	word	verb	B2	cefrj	2.91
w:accuracy|noun	accuracy	word	noun	B1	cefrj	3.33
w:accurate|adj	accurate	word	adj	B1	cefrj	3.95
w:accurately|adv	accurately	word	adv	B1	cefrj	3.29
w:accusation|noun	accusation	word	noun	B2	cefrj	3.54
w:accuse|verb	accuse	word	verb	B1	cefrj	3.85
w:accustom|verb	accustom	word	verb	B1	cefrj	0.00
w:accustomed|adj	accustomed	word	adj	C1	cefrj	3.48
w:ache|noun	ache	word	noun	B1	cefrj	3.55
w:ache|verb	ache	word	verb	B2	cefrj	3.55
w:achievable|adj	achievable	word	adj	B2	cefrj	0.00
w:achieve|verb	achieve	word	verb	A2	cefrj	4.08
w:achievement|noun	achievement	word	noun	B1	cefrj	3.66
w:acid|noun	acid	word	noun	B2	cefrj	4.02
w:acidic|adj	acidic	word	adj	C1	cefrj	2.65
w:acknowledge|verb	acknowledge	word	verb	B1	cefrj	3.76
w:acknowledgement|noun	acknowledgement	word	noun	B1	cefrj	2.58
w:acknowledgment|noun	acknowledgment	word	noun	B1	cefrj	2.44
w:acoustic|adj	acoustic	word	adj	C1	cefrj	3.19
w:acoustically|adv	acoustically	word	adv	C1	cefrj	0.00
w:acoustics|noun	acoustics	word	noun	C1	cefrj	2.72
w:acquaintance|noun	acquaintance	word	noun	B1	cefrj	3.71
w:acquire|verb	acquire	word	verb	B1	cefrj	3.51
w:acquisition|noun	acquisition	word	noun	B2	cefrj	3.12
w:acre|noun	acre	word	noun	C1	cefrj	3.20
w:acreage|noun	acreage	word	noun	C2	cefrj	2.36
w:acrobatic|adj	acrobatic	word	adj	C2	cefrj	2.43
w:acrobatically|adv	acrobatically	word	adv	C2	cefrj	0.00
w:acrobatics|noun	acrobatics	word	noun	C2	cefrj	2.48
w:across|adv	across	word	adv	A2	cefrj	4.97
w:across|prep	across	word	prep	A2	cefrj	4.97
w:act|noun	act	word	noun	A2	cefrj	5.04
w:act|verb	act	word	verb	B1	cefrj	5.04
w:action|noun	action	word	noun	A1	cefrj	4.78
w:active|adj	active	word	adj	B1	cefrj	4.14
w:actively|adv	actively	word	adv	B2	cefrj	3.24
w:activity|noun	activity	word	noun	A1	cefrj	4.20
w:actor|noun	actor	word	noun	A1	cefrj	4.38
w:actress|noun	actress	word	noun	B1	cefrj	4.20
w:actual|adj	actual	word	adj	B2	cefrj	4.35
w:actually|adv	actually	word	adv	A2	cefrj	5.59
w:acute|adj	acute	word	adj	B2	cefrj	3.49
w:acutely|adv	acutely	word	adv	C1	cefrj	2.53
